Date,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,SleepScore,sleep_labels
09-05-2015,384,26,23,417,0.8585131894,1
10-05-2015,454,35,21,491,0.8533604888,1
11-05-2015,387,46,25,436,0.7821100917,2
12-05-2015,311,31,21,350,0.8,2
13-05-2015,407,65,44,491,0.6965376782,3
14-05-2015,405,47,31,457,0.7833698031,2
15-05-2015,381,28,12,415,0.8506024096,1
16-05-2015,269,34,16,306,0.7679738562,2
17-05-2015,452,26,18,507,0.8402366864,2
18-05-2015,269,17,11,291,0.8659793814,1
19-05-2015,167,9,8,180,0.8777777778,1
20-05-2015,368,50,27,420,0.7571428571,2
21-05-2015,386,30,22,420,0.8476190476,2
22-05-2015,351,46,26,399,0.7644110276,2
23-05-2015,314,32,26,353,0.7988668555,2
24-05-2015,432,35,24,469,0.8464818763,2
25-05-2015,224,24,19,270,0.7407407407,3
26-05-2015,0,0,0,0,,NaN
27-05-2015,389,39,28,430,0.8139534884,2
28-05-2015,381,24,17,412,0.8665048544,1
29-05-2015,417,66,32,486,0.7222222222,3
30-05-2015,464,35,26,503,0.8528827038,1
31-05-2015,328,53,25,382,0.719895288,3
01-06-2015,426,54,33,495,0.7515151515,2
02-06-2015,430,41,26,484,0.8037190083,2
03-06-2015,376,46,34,436,0.7568807339,2
04-06-2015,312,44,29,369,0.7262872629,3
05-06-2015,388,21,15,415,0.8843373494,1
06-06-2015,409,56,34,468,0.7542735043,2
01-06-2015,426,54,27,495,0.7515151515,2
02-06-2015,430,41,19,484,0.8037190083,2
03-06-2015,376,46,30,436,0.7568807339,2
04-06-2015,312,44,25,369,0.7262872629,3
05-06-2015,388,21,14,415,0.8843373494,1
06-06-2015,409,56,30,468,0.7542735043,2
07-06-2015,54,18,3,87,0.4137931034,3
08-06-2015,347,45,21,401,0.753117207,2
09-06-2015,290,33,14,332,0.7740963855,2
10-06-2015,379,24,14,411,0.8637469586,1
11-06-2015,394,29,17,436,0.8371559633,2
12-06-2015,421,23,13,448,0.8883928571,1
13-06-2015,169,20,11,196,0.7602040816,2
14-06-2015,0,0,0,0,,NaN
15-06-2015,412,17,9,436,0.9059633028,0
16-06-2015,379,49,30,438,0.7534246575,2
17-06-2015,373,47,23,427,0.7634660422,2
18-06-2015,360,51,26,416,0.7427884615,3
19-06-2015,358,42,22,401,0.7880299252,2
20-06-2015,415,48,29,468,0.7841880342,2
21-06-2015,464,39,24,503,0.8449304175,2
22-06-2015,388,54,28,444,0.7522522523,2
23-06-2015,449,24,15,480,0.8854166667,1
24-06-2015,357,29,15,395,0.8303797468,2
25-06-2015,379,38,21,420,0.8119047619,2
26-06-2015,332,16,7,349,0.9054441261,0
27-06-2015,413,38,19,454,0.8259911894,2
28-06-2015,438,45,22,488,0.8053278689,2
29-06-2015,277,42,15,320,0.734375,3
30-06-2015,291,22,17,317,0.8485804416,2
01-08-2015,0,0,0,0,,NaN
02-08-2015,529,78,38,607,0.7429983526,3
03-08-2015,294,42,18,351,0.7179487179,3
04-08-2015,303,27,16,336,0.8214285714,2
05-08-2015,553,31,20,592,0.8817567568,1
06-08-2015,402,22,12,427,0.8899297424,1
07-08-2015,192,22,12,230,0.7391304348,3
08-08-2015,487,27,17,518,0.888030888,1
09-08-2015,544,39,24,583,0.8662092624,1
10-08-2015,77,0,0,77,1,0
11-08-2015,80,2,5,92,0.847826087,2
12-08-2015,0,0,0,0,,NaN
13-08-2015,263,33,17,297,0.7744107744,2
14-08-2015,219,15,11,237,0.8607594937,1
15-08-2015,551,42,27,593,0.8583473862,1
16-08-2015,429,34,16,465,0.8494623656,2
17-08-2015,263,7,13,285,0.898245614,1
18-08-2015,445,75,38,526,0.7034220532,3
19-08-2015,212,33,15,247,0.7246963563,3
20-08-2015,324,22,13,354,0.8531073446,1
21-08-2015,465,60,33,525,0.7714285714,2
22-08-2015,440,33,23,476,0.8550420168,1
23-08-2015,518,28,19,549,0.8925318761,1
24-08-2015,375,49,33,446,0.730941704,3
25-08-2015,326,13,6,339,0.9233038348,0
26-08-2015,397,21,14,437,0.8604118993,1
27-08-2015,497,47,37,549,0.8196721311,2
28-08-2015,0,0,0,0,,NaN
29-08-2015,234,5,8,250,0.916,0
30-08-2015,52,6,3,69,0.6666666667,3
31-08-2015,0,0,0,0,,NaN
01-09-2015,125,13,9,141,0.7943262411,2
02-09-2015,316,46,20,366,0.737704918,3
03-09-2015,0,0,0,0,,NaN
04-09-2015,452,26,18,489,0.8711656442,1
05-09-2015,479,32,21,512,0.873046875,1
06-09-2015,382,30,18,414,0.8502415459,1
07-09-2015,0,0,0,0,,NaN
08-09-2015,153,8,9,163,0.8895705521,1
09-09-2015,393,61,33,468,0.7094017094,3
10-09-2015,226,12,8,249,0.859437751,1
11-09-2015,249,31,15,287,0.7595818815,2
12-09-2015,525,72,45,603,0.7512437811,2
13-09-2015,414,61,34,480,0.7354166667,3
14-09-2015,0,0,0,0,,NaN
15-09-2015,426,17,11,444,0.9211711712,0
16-09-2015,423,40,27,478,0.8012552301,2
17-09-2015,407,41,29,457,0.8008752735,2
18-09-2015,393,58,30,452,0.7411504425,3
19-09-2015,396,35,24,433,0.8337182448,2
20-09-2015,0,0,0,0,,NaN
21-09-2015,0,0,0,0,,NaN
22-09-2015,395,35,17,430,0.8372093023,2
23-09-2015,420,36,17,456,0.8421052632,2
24-09-2015,0,0,0,0,,NaN
25-09-2015,434,35,16,469,0.8507462687,1
26-09-2015,359,54,30,414,0.7367149758,3
27-09-2015,265,20,10,285,0.8596491228,1
28-09-2015,411,38,23,450,0.8288888889,2
29-09-2015,309,39,26,348,0.775862069,2
30-09-2015,477,27,16,504,0.8928571429,1
01-10-2015,403,45,27,448,0.7991071429,2
02-10-2015,431,39,28,470,0.8340425532,2
03-10-2015,0,0,0,0,,NaN
04-10-2015,108,7,5,115,0.8782608696,1
05-10-2015,78,3,2,81,0.9259259259,0
06-10-2015,397,66,35,463,0.7149028078,3
07-10-2015,387,17,8,404,0.9158415842,0
08-10-2015,0,0,0,0,,NaN
09-10-2015,407,65,33,472,0.7245762712,3
10-10-2015,92,7,6,99,0.8585858586,1
11-10-2015,0,0,0,0,,NaN
12-10-2015,0,0,0,0,,NaN
13-10-2015,0,0,0,0,,NaN
14-10-2015,0,0,0,0,,NaN
15-10-2015,0,0,0,0,,NaN
16-10-2015,326,29,16,355,0.8366197183,2
17-10-2015,444,57,33,505,0.7663366337,2
18-10-2015,142,9,6,151,0.880794702,1
19-10-2015,347,45,29,393,0.7684478372,2
20-10-2015,0,0,0,0,,NaN
21-10-2015,0,0,0,0,,NaN
22-10-2015,136,21,10,157,0.7324840764,3
23-10-2015,209,14,6,223,0.8744394619,1
24-10-2015,365,19,14,384,0.9010416667,0
25-10-2015,151,16,10,167,0.8083832335,2
26-10-2015,226,24,15,250,0.808,2
27-10-2015,405,44,23,449,0.8040089087,2
28-10-2015,276,28,14,304,0.8157894737,2
29-10-2015,0,0,0,0,,NaN
30-10-2015,155,8,5,163,0.9018404908,0
31-10-2015,383,41,23,424,0.8066037736,2
01-12-2015,275,31,14,306,0.7973856209,2
02-12-2015,398,44,33,442,0.8009049774,2
03-12-2015,271,37,21,308,0.7597402597,2
04-12-2015,0,0,0,0,,NaN
05-12-2015,268,8,4,276,0.9420289855,0
06-12-2015,196,19,7,215,0.823255814,2
07-12-2015,232,11,6,243,0.9094650206,0
08-12-2015,0,0,0,0,,NaN
09-12-2015,318,38,31,369,0.7588075881,2
10-12-2015,0,0,0,0,,NaN
11-12-2015,0,0,0,0,,NaN
12-12-2015,464,58,35,522,0.7777777778,2
13-12-2015,279,21,20,303,0.8514851485,1
14-12-2015,321,39,21,361,0.7811634349,2
15-12-2015,242,12,6,254,0.905511811,0
16-12-2015,102,4,2,106,0.9245283019,0
17-12-2015,161,9,4,170,0.8941176471,1
18-12-2015,0,0,0,0,,NaN
19-12-2015,440,42,22,482,0.8257261411,2
20-12-2015,339,48,28,387,0.7519379845,2
21-12-2015,388,16,10,404,0.9207920792,0
22-12-2015,419,19,11,438,0.9132420091,0
23-12-2015,0,0,0,0,,NaN
24-12-2015,0,0,0,0,,NaN
25-12-2015,308,49,27,357,0.7254901961,3
26-12-2015,488,46,27,534,0.8277153558,2
27-12-2015,326,39,24,365,0.7863013699,2
28-12-2015,207,31,18,238,0.7394957983,3
29-12-2015,242,10,6,252,0.9206349206,0
30-12-2015,448,58,33,506,0.7707509881,2
31-12-2015,541,31,13,572,0.8916083916,1
01-01-2016,278,15,14,295,0.8915254237,1
02-01-2016,316,39,19,355,0.7802816901,2
03-01-2016,0,0,0,0,,NaN
04-01-2016,380,52,31,432,0.7592592593,2
05-01-2016,297,31,19,328,0.8109756098,2
06-01-2016,354,43,22,397,0.7833753149,2
07-01-2016,336,16,8,352,0.9090909091,0
08-01-2016,306,17,10,323,0.8947368421,1
09-01-2016,396,29,10,425,0.8635294118,1
10-01-2016,0,0,0,0,,NaN
11-01-2016,327,18,11,345,0.8956521739,1
12-01-2016,254,36,18,290,0.7517241379,2
13-01-2016,423,13,7,436,0.9403669725,0
14-01-2016,345,29,19,374,0.8449197861,2
15-01-2016,391,39,22,430,0.8186046512,2
16-01-2016,400,41,27,441,0.8140589569,2
17-01-2016,434,31,26,466,0.864806867,1
18-01-2016,325,11,5,336,0.9345238095,0
19-01-2016,0,0,0,0,,NaN
20-01-2016,468,37,24,507,0.8500986193,1
21-01-2016,336,55,30,391,0.7186700767,3
22-01-2016,458,63,36,521,0.7581573896,2
23-01-2016,339,47,28,386,0.7564766839,2
24-01-2016,342,48,31,390,0.7538461538,2
25-01-2016,0,0,0,0,,NaN
26-01-2016,357,35,22,392,0.8214285714,2
27-01-2016,328,37,21,365,0.797260274,2
28-01-2016,385,41,27,427,0.8056206089,2
29-01-2016,248,32,20,280,0.7714285714,2
30-01-2016,410,26,14,436,0.880733945,1
31-01-2016,424,48,28,473,0.7949260042,2
05-02-2016,401,18,14,420,0.9119047619,0
06-02-2016,350,29,19,380,0.8447368421,2
07-02-2016,316,15,7,331,0.9093655589,0
08-02-2016,376,50,30,426,0.765258216,2
09-02-2016,342,41,21,383,0.7859007833,2
10-02-2016,0,0,0,0,,NaN
11-02-2016,333,22,15,355,0.876056338,1
12-02-2016,322,26,14,348,0.8505747126,1
13-02-2016,448,55,29,503,0.7813121272,2
14-02-2016,264,28,20,293,0.8054607509,2
15-02-2016,0,0,0,0,,NaN
16-02-2016,305,27,16,334,0.8323353293,2
17-02-2016,309,12,7,321,0.9252336449,0
18-02-2016,0,0,0,0,,NaN
19-02-2016,317,17,9,334,0.8982035928,1
20-02-2016,383,35,31,419,0.830548926,2
21-02-2016,347,45,32,393,0.7684478372,2
22-02-2016,0,0,0,0,,NaN
23-02-2016,243,23,9,266,0.8270676692,2
24-02-2016,437,22,9,459,0.9041394336,0
25-02-2016,382,35,21,417,0.8321342926,2
26-02-2016,0,0,0,0,,NaN
27-02-2016,0,0,0,0,,NaN
28-02-2016,262,33,16,295,0.7762711864,2
29-02-2016,166,14,7,180,0.8444444444,2
01-04-2016,337,51,23,388,0.7371134021,3
02-04-2016,78,6,3,85,0.8470588235,2
03-04-2016,315,45,23,360,0.75,3
04-04-2016,184,29,16,214,0.7242990654,3
05-04-2016,425,25,8,450,0.8888888889,1
06-04-2016,267,34,15,302,0.7715231788,2
07-04-2016,359,14,7,373,0.9249329759,0
08-04-2016,379,46,24,425,0.7835294118,2
09-04-2016,507,18,10,525,0.9314285714,0
10-04-2016,306,35,22,341,0.7947214076,2
11-04-2016,407,50,26,457,0.7811816193,2
12-04-2016,354,37,21,391,0.810741688,2
13-04-2016,365,65,31,430,0.6976744186,3
14-04-2016,278,26,18,304,0.8289473684,2
15-04-2016,396,50,20,446,0.7757847534,2
16-04-2016,404,67,25,471,0.7154989384,3
17-04-2016,0,0,0,0,,NaN
18-04-2016,307,28,12,335,0.8328358209,2
19-04-2016,0,0,0,0,,NaN
20-04-2016,411,31,17,442,0.8597285068,1
21-04-2016,341,27,17,368,0.8532608696,1
22-04-2016,430,62,39,492,0.7479674797,3
23-04-2016,305,42,28,348,0.7557471264,2
24-04-2016,375,56,31,431,0.7401392111,3
25-04-2016,237,28,14,265,0.7886792453,2
26-04-2016,360,20,10,380,0.8947368421,1
27-04-2016,361,49,27,410,0.7609756098,2
28-04-2016,374,56,34,430,0.7395348837,3
29-04-2016,348,20,9,368,0.8913043478,1
30-04-2016,454,48,27,502,0.8087649402,2
01-05-2016,347,41,20,388,0.7886597938,2
02-05-2016,314,34,23,348,0.8045977011,2
03-05-2016,377,33,18,410,0.8390243902,2
04-05-2016,406,21,8,427,0.9016393443,0
05-05-2016,280,35,15,315,0.7777777778,2
06-05-2016,370,42,22,412,0.7961165049,2
07-05-2016,502,57,31,563,0.7904085258,2
