Data,MinutesIntenseActivity,LengthOfRestInMinutes
01-06-2015,70,495
02-06-2015,93,484
03-06-2015,89,436
04-06-2015,70,369
05-06-2015,52,415
06-06-2015,42,468
07-06-2015,130,87
08-06-2015,29,401
09-06-2015,31,332
10-06-2015,4,411
11-06-2015,64,436
12-06-2015,11,448
13-06-2015,56,196
14-06-2015,93,404.6206896552
15-06-2015,51,436
16-06-2015,54,438
17-06-2015,110,427
18-06-2015,59,416
19-06-2015,66,401
20-06-2015,93,468
21-06-2015,75,503
22-06-2015,44,444
23-06-2015,15,480
24-06-2015,95,395
25-06-2015,20,420
26-06-2015,99,349
27-06-2015,53,454
28-06-2015,51,488
29-06-2015,49,320
30-06-2015,58,317
